,0
811,NA1_4545122238
812,NA1_4545091330
813,NA1_4545057464
814,NA1_4545027764
815,NA1_4544974897
816,NA1_4544921361
817,NA1_4541990895
818,NA1_4541191911
819,NA1_4541146724
820,NA1_4546681202
821,NA1_4546655025
822,NA1_4546626093
823,NA1_4546587538
824,NA1_4546566172
825,NA1_4546537301
826,NA1_4546510687
827,NA1_4546505042
828,NA1_4546486637
829,NA1_4546466587
830,NA1_4546461067
831,NA1_4546436641
832,NA1_4546425002
833,NA1_4546398197
834,NA1_4546386043
835,NA1_4546373159
836,NA1_4546358792
837,NA1_4546337741
838,NA1_4546316011
839,NA1_4546287291
840,NA1_4546350797
841,NA1_4546322262
842,NA1_4546298383
843,NA1_4546279624
844,NA1_4546263572
845,NA1_4546226967
846,NA1_4546195897
847,NA1_4546143114
848,NA1_4546081348
849,NA1_4546021514
850,NA1_4545976004
851,NA1_4545907238
852,NA1_4545876188
853,NA1_4545865854
854,NA1_4545819474
855,NA1_4545777193
856,NA1_4545723631
857,NA1_4545690235
858,NA1_4545662694
859,NA1_4545628297
860,NA1_4546671602
861,NA1_4546647860
862,NA1_4546624741
863,NA1_4546601752
864,NA1_4546571662
865,NA1_4546559199
866,NA1_4546535249
867,NA1_4546521072
868,NA1_4546512752
869,NA1_4546190297
870,NA1_4546153639
871,NA1_4546101505
872,NA1_4546048386
873,NA1_4545998308
874,NA1_4545955693
875,NA1_4545916503
876,NA1_4545862111
877,NA1_4545812667
878,NA1_4545806769
879,NA1_4545757427
880,NA1_4546352257
881,NA1_4546329601
882,NA1_4546313391
883,NA1_4546310225
884,NA1_4546279634
885,NA1_4546250721
886,NA1_4546214607
887,NA1_4546187053
888,NA1_4546127221
889,NA1_4546047476
890,NA1_4546039888
891,NA1_4545980653
892,NA1_4545970235
893,NA1_4545906271
894,NA1_4545870823
895,NA1_4545829866
896,NA1_4545772191
897,NA1_4545732222
898,NA1_4545706046
899,NA1_4545672924
900,NA1_4546543607
901,NA1_4546528422
902,NA1_4546504716
903,NA1_4546182001
904,NA1_4546148414
905,NA1_4546099581
906,NA1_4546053957
907,NA1_4546014958
908,NA1_4545970389
909,NA1_4545905725
910,NA1_4545904077
911,NA1_4545866357
912,NA1_4545829725
913,NA1_4545812745
914,NA1_4545777179
915,NA1_4545732633
916,NA1_4545703645
917,NA1_4545680994
918,NA1_4545656806
919,NA1_4545624501
920,NA1_4545840763
921,NA1_4545799929
922,NA1_4545762345
923,NA1_4545731080
924,NA1_4545699105
925,NA1_4545665826
926,NA1_4545625336
927,NA1_4545593718
928,NA1_4545574750
929,NA1_4545535710
930,NA1_4545519785
931,NA1_4545493102
932,NA1_4545475979
933,NA1_4545457055
934,NA1_4545441617
935,NA1_4545430070
936,NA1_4545416627
937,NA1_4545412452
938,NA1_4545398538
939,NA1_4545388881
940,NA1_4546680526
941,NA1_4546656065
942,NA1_4546626692
943,NA1_4546601442
944,NA1_4546580326
945,NA1_4546577835
946,NA1_4546559747
947,NA1_4546539982
948,NA1_4546289156
949,NA1_4546260497
950,NA1_4546237396
951,NA1_4546202874
952,NA1_4546159176
953,NA1_4546102238
954,NA1_4546062896
955,NA1_4546003415
956,NA1_4545983869
957,NA1_4545935237
958,NA1_4545886488
959,NA1_4545843649
960,NA1_4545607889
961,NA1_4545574477
962,NA1_4545558940
963,NA1_4545539339
964,NA1_4545517892
965,NA1_4545492595
966,NA1_4545481937
967,NA1_4545466065
968,NA1_4545440703
969,NA1_4545431250
970,NA1_4545423989
971,NA1_4545413085
972,NA1_4545397545
973,NA1_4545385627
